sentiment,sentiment:confidence,date,year,month,day,text
Neutral,0.8214,2014-12-02 01:11:43+00:00,2014,12,2,Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV
Negative,1.0,2014-12-02 01:13:03+00:00,2014,12,2,Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.
Negative,0.6398,2014-12-02 01:15:12+00:00,2014,12,2,Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM
Positive,1.0,2014-12-02 01:17:55+00:00,2014,12,2,RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF
Positive,0.6759,2014-12-02 01:22:40+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,0.5327,2014-12-02 01:25:49+00:00,2014,12,2,Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv
Negative,1.0,2014-12-02 01:36:18+00:00,2014,12,2,3G is draining my battery fix this @apple
Negative,1.0,2014-12-02 01:40:38+00:00,2014,12,2,@apple your chargers suck ass! They just love to break!
Positive,0.6783,2014-12-02 01:44:36+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,1.0,2014-12-02 01:45:03+00:00,2014,12,2,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX"
Positive,0.6604,2014-12-02 01:47:52+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,0.7556,2014-12-02 01:49:00+00:00,2014,12,2,I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad
Negative,0.4791,2014-12-02 01:52:00+00:00,2014,12,2,@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!
Positive,1.0,2014-12-02 01:52:18+00:00,2014,12,2,@aydlettgwyn13 @apple please educate us
Negative,0.7591,2014-12-02 01:53:41+00:00,2014,12,2,RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
Positive,0.6676,2014-12-02 01:58:06+00:00,2014,12,2,The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8
Positive,1.0,2014-12-02 02:00:04+00:00,2014,12,2,#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx
Negative,1.0,2014-12-02 02:00:59+00:00,2014,12,2,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple
Negative,0.7039,2014-12-02 02:03:46+00:00,2014,12,2,Thisn#Yosemite update is stressing me out @apple #macbookpro
Negative,1.0,2014-12-02 02:04:40+00:00,2014,12,2,Just broke my 3rd charger of the month. Get your shit together @apple
Negative,1.0,2014-12-02 02:09:56+00:00,2014,12,2,"This iPhone 6 battery isn't as good as you claim, @apple"
Negative,1.0,2014-12-02 02:10:38+00:00,2014,12,2,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..
Positive,1.0,2014-12-02 02:14:37+00:00,2014,12,2,"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA"
Positive,0.6908,2014-12-02 02:14:56+00:00,2014,12,2,RT @chanchan1717: @aydlettgwyn13 @apple please educate us
Neutral,0.6517,2014-12-02 02:16:00+00:00,2014,12,2,"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good."
Negative,1.0,2014-12-02 02:16:19+00:00,2014,12,2,@apple @iphone4 oh it's not fair and i think you're really mean
Positive,0.6794,2014-12-02 02:25:30+00:00,2014,12,2,#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
Positive,1.0,2014-12-02 02:27:54+00:00,2014,12,2,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
Neutral,0.7851,2014-12-02 02:38:28+00:00,2014,12,2,IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday
Negative,1.0,2014-12-02 02:56:02+00:00,2014,12,2,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple
Positive,0.6218,2014-12-02 02:56:56+00:00,2014,12,2,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?
Negative,0.6884,2014-12-02 02:56:57+00:00,2014,12,2,@apple why was the iphone 4 ever created
Negative,1.0,2014-12-02 03:00:07+00:00,2014,12,2,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot
Neutral,0.6573,2014-12-02 03:00:29+00:00,2014,12,2,@apple please can I have new phone for Christmas? #spreadsomejoy
Positive,0.7279,2014-12-02 03:01:44+00:00,2014,12,2,Perfome @apple pie.. http://t.co/eHsgVdej9N
Positive,0.6734,2014-12-02 03:05:07+00:00,2014,12,2,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks
Positive,0.6442,2014-12-02 03:05:32+00:00,2014,12,2,.@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI
Positive,0.6635,2014-12-02 03:09:32+00:00,2014,12,2,"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL"
Negative,1.0,2014-12-02 03:09:39+00:00,2014,12,2,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE
Positive,0.7287,2014-12-02 03:13:14+00:00,2014,12,2,"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF"
Positive,0.7079,2014-12-02 03:15:03+00:00,2014,12,2,#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ
Negative,1.0,2014-12-02 03:28:00+00:00,2014,12,2,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
Positive,1.0,2014-12-02 03:30:02+00:00,2014,12,2,"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
Positive,1.0,2014-12-02 03:31:46+00:00,2014,12,2,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
Positive,1.0,2014-12-02 03:42:08+00:00,2014,12,2,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
Positive,0.6624,2014-12-02 03:49:22+00:00,2014,12,2,My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me @Apple
Negative,1.0,2014-12-02 03:49:34+00:00,2014,12,2,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck
Positive,1.0,2014-12-02 03:52:46+00:00,2014,12,2,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
Negative,1.0,2014-12-02 03:52:58+00:00,2014,12,2,RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
Positive,0.7053,2014-12-02 03:57:07+00:00,2014,12,2,"#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: #Apple, #AAPL, Campaign... http://t.co/XT3Z1sx0P4"
Neutral,1.0,2014-12-02 03:58:50+00:00,2014,12,2,Well played @apple http://t.co/mGbsxyiA69
Neutral,1.0,2014-12-02 04:00:59+00:00,2014,12,2,Thank you @Apple
Negative,0.6894,2014-12-02 04:07:57+00:00,2014,12,2,Fix it @apple http://t.co/cHoq6LHeHo
Neutral,1.0,2014-12-02 04:08:21+00:00,2014,12,2,RT @_iamGambino: Thank you @Apple
Negative,1.0,2014-12-02 04:09:46+00:00,2014,12,2,How long does it really take for a phone to ship @apple smh
Positive,1.0,2014-12-02 04:11:56+00:00,2014,12,2,@Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE
Positive,1.0,2014-12-02 04:12:53+00:00,2014,12,2,RT @smartoutsource1: @Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE
Positive,1.0,2014-12-02 04:21:29+00:00,2014,12,2,Lol dying @apple http://t.co/EP8hQb2O2H
Negative,1.0,2014-12-02 04:24:00+00:00,2014,12,2,"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh."
Positive,0.6806,2014-12-02 04:30:03+00:00,2014,12,2,"Trade $AAPL #FREE Nightly Updates are #posted here on #Twitter, or you can visit the #Trade #AAPL FREE #website here http://t.co/U4TKeApbxF"
Negative,0.6864,2014-12-02 04:30:31+00:00,2014,12,2,Thanks @apple for changing yet another fuck into duck...Thanks.
Negative,0.5339,2014-12-02 04:33:28+00:00,2014,12,2,@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI
Negative,1.0,2014-12-02 04:34:05+00:00,2014,12,2,@brwnskin_beauti cause fuck @apple
Positive,1.0,2014-12-02 04:35:14+00:00,2014,12,2,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
Negative,1.0,2014-12-02 04:36:38+00:00,2014,12,2,if i buy a 16 gb phone i should have 16 GB'S TO USE @apple
Negative,1.0,2014-12-02 04:37:44+00:00,2014,12,2,fuck you for BREAKING MY MUSIC @apple
Positive,1.0,2014-12-02 04:38:57+00:00,2014,12,2,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
Positive,1.0,2014-12-02 04:41:05+00:00,2014,12,2,"Have #Apple, Inc.'s #iPad Sales Peaked? #AAPL http://t.co/2Wpaib3z9M"
Positive,1.0,2014-12-02 04:48:00+00:00,2014,12,2,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
Positive,1.0,2014-12-02 04:53:24+00:00,2014,12,2,Barclay's #Apple Analyst Joins The Crowd And Increases Price Target - Forbes #aapl http://t.co/6Z1DwxeCpE
Negative,1.0,2014-12-02 04:54:14+00:00,2014,12,2,just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu
Negative,0.681,2014-12-02 05:00:08+00:00,2014,12,2,RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple
Negative,1.0,2014-12-02 05:03:26+00:00,2014,12,2,@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks
Negative,1.0,2014-12-02 05:06:09+00:00,2014,12,2,@Apple I h8 everything about u
Negative,1.0,2014-12-02 05:06:55+00:00,2014,12,2,@apple ur a disgrace
Positive,0.5098,2014-12-02 05:07:11+00:00,2014,12,2,@apple I want my pictures back
Negative,1.0,2014-12-02 05:07:30+00:00,2014,12,2,My phone is on acid right now @apple fix this
Negative,1.0,2014-12-02 05:11:58+00:00,2014,12,2,@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj
Negative,1.0,2014-12-02 05:13:02+00:00,2014,12,2,@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective
Neutral,0.718,2014-12-02 05:14:39+00:00,2014,12,2,"@Apple BTW, I LOVE all of your products.  They rock!  Your power cords are junk.  You seriously need to fix this!"
Positive,1.0,2014-12-02 05:16:00+00:00,2014,12,2,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
Negative,0.6894,2014-12-02 05:20:58+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,1.0,2014-12-02 05:25:24+00:00,2014,12,2,Yo @Apple fix your shitty iMessage
Neutral,0.6544,2014-12-02 05:35:04+00:00,2014,12,2,#AAPL RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion  http://t.co/XHkqFr7whT
Neutral,0.6373,2014-12-02 05:37:33+00:00,2014,12,2,"Even With Apple Watch Delayed, I'm Raising My AAPL Price Target To $165 - http://t.co/TGENjFl3zI #AAPL #Alex_Cho"
Neutral,1.0,2014-12-02 05:40:45+00:00,2014,12,2,I love @AIRMILES! Between @chaptersindigo &amp; @apple I earned ~200 miles during the #BlackFriday sale! #freemoney #centsability #cybermonday
Negative,1.0,2014-12-02 05:42:54+00:00,2014,12,2,Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it
Positive,1.0,2014-12-02 06:00:54+00:00,2014,12,2,First @Apple logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree
Negative,1.0,2014-12-02 06:01:11+00:00,2014,12,2,Those** PICK UP THE SLACK YOU FUCK BOYS @Apple
Neutral,0.6635,2014-12-02 06:09:23+00:00,2014,12,2,@surface maybe good product but never better then @apple MacBook Air .... It's a fact
Negative,1.0,2014-12-02 06:52:06+00:00,2014,12,2,fucking faggots @apple
Negative,0.6635,2014-12-02 06:52:43+00:00,2014,12,2,@Apple of course that's not their mother fucking @
Positive,0.6816,2014-12-02 06:54:50+00:00,2014,12,2,Apple Inc. Store Logos Turn Red For World AIDS Day http://t.co/nsBtAl4g75 #AAPL
Negative,1.0,2014-12-02 06:55:35+00:00,2014,12,2,the fuck kinda gay shit you print in the fucking ketosis @apple
Negative,1.0,2014-12-02 06:57:40+00:00,2014,12,2,Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd
Positive,1.0,2014-12-02 07:12:47+00:00,2014,12,2,Apple CEO Tim Cook comes out as gay @Apple   http://t.co/euFQQpMjj6  Via @posh360_Net
Negative,1.0,2014-12-02 07:15:09+00:00,2014,12,2,RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube
Negative,0.7206,2014-12-02 07:16:12+00:00,2014,12,2,@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars
Positive,0.6518,2014-12-02 07:21:27+00:00,2014,12,2,@Apple @tim_cook Perhaps a less malleable metal for the shell of the #iPhone6SPlus. #noticedsomecurve
Positive,1.0,2014-12-02 07:21:37+00:00,2014,12,2,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster
Positive,1.0,2014-12-02 07:21:47+00:00,2014,12,2,MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing
Positive,1.0,2014-12-02 07:22:07+00:00,2014,12,2,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing
Positive,0.6491,2014-12-02 07:22:17+00:00,2014,12,2,iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox
Positive,0.6765,2014-12-02 07:24:48+00:00,2014,12,2,@apple where the iPod 6 at doe?
Negative,0.6827,2014-12-02 07:32:56+00:00,2014,12,2,"Can @apple drop Audio Only rendition requirement for iOS apps? 
Users hate it 
No other stores want it
Other platforms don't know what it is"
Negative,0.8539,2014-12-02 07:45:08+00:00,2014,12,2,"None too happy with @Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo."
Positive,1.0,2014-12-02 08:04:55+00:00,2014,12,2,"#iPhone6S to #emerge spring 2015 with @Apple [#Apple] Watch?. (#Tuesday, 2 #December) http://t.co/NnGLuvYW6M"
Positive,1.0,2014-12-02 08:25:58+00:00,2014,12,2,All my Apps on @apple #ipodtouch5thgen http://t.co/cRhwdbSxSx http://t.co/UNpPU4zrRq
Negative,0.6882,2014-12-02 08:27:10+00:00,2014,12,2,I demand there be a tapatio emoji @apple
Positive,1.0,2014-12-02 08:27:27+00:00,2014,12,2,My apps @apple #ipodtouch5thgen http://t.co/ttEzGarBXd http://t.co/8bUawltG4i
Positive,0.679,2014-12-02 08:30:04+00:00,2014,12,2,"#AAPL:
Call America for free until Christmas: Tesco cuts costs for relaunch...
http://t.co/ujvbkQVfqj"
Negative,0.7284,2014-12-02 08:37:56+00:00,2014,12,2,so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback
